flight_id,airline,source,destination,travel_month,days_before_booking,stops,duration_hours,ticket_price
FLT0001,GoAir,Mumbai,Delhi,4,74.0,2 Stops,6.2,8116.0
FLT0002,Air India,Kolkata,Goa,3,106.0,1 Stop,6.3,9660.0
FLT0003,GoAir,Kolkata,Hyderabad,6,37.0,Non-stop,6.9,8353.0
FLT0004,SpiceJet,Mumbai,Kolkata,11,57.0,Non-stop,7.5,12244.0
FLT0005,IndiGo,Delhi,Chennai,10,15.0,Non-stop,6.8,9785.0
FLT0006,Akasa Air,Hyderabad,Pune,4,117.0,Non-stop,8.1,9796.0
FLT0007,SpiceJet,Delhi,Bangalore,12,62.0,2 Stops,6.6,9030.0
FLT0008,GoAir,Chennai,Hyderabad,3,67.0,Non-stop,5.8,8521.0
FLT0009,IndiGo,Mumbai,Chennai,11,50.0,Non-stop,6.5,11409.0
FLT0010,Air India,Delhi,Goa,4,33.0,1 Stop,1.9,4844.0
FLT0011,Air India,Kolkata,Pune,7,114.0,Non-stop,3.5,7323.0
FLT0012,Akasa Air,Delhi,Mumbai,3,59.0,Non-stop,5.7,9506.0
FLT0013,SpiceJet,Kolkata,Goa,10,81.0,Non-stop,8.9,12709.0
FLT0014,GoAir,Kolkata,Bangalore,4,5.0,1 Stop,7.1,7485.0
FLT0015,Air India,Delhi,Bangalore,11,34.0,1 Stop,1.8,4801.0
FLT0016,IndiGo,Mumbai,Chennai,1,97.0,Non-stop,6.3,10341.0
FLT0017,Vistara,Kolkata,Hyderabad,7,11.0,2 Stops,3.0,4065.0
FLT0018,IndiGo,Chennai,Bangalore,2,13.0,1 Stop,7.6,9813.0
FLT0019,,Delhi,Bangalore,11,98.0,1 Stop,8.4,11072.0
FLT0020,SpiceJet,Hyderabad,Chennai,6,38.0,Non-stop,6.3,9602.0
FLT0021,SpiceJet,Mumbai,Bangalore,9,33.0,Non-stop,6.3,9989.0
FLT0022,Air India,Delhi,Pune,11,68.0,1 Stop,4.0,7216.0
FLT0023,Akasa Air,Hyderabad,Delhi,7,24.0,Non-stop,5.0,7769.0
FLT0024,Akasa Air,Delhi,Pune,1,6.0,1 Stop,8.8,9208.0
FLT0025,GoAir,Chennai,Bangalore,3,1.0,1 Stop,7.5,8805.0
FLT0026,IndiGo,Hyderabad,Kolkata,3,10.0,Non-stop,5.7,8693.0
FLT0027,Vistara,Chennai,Mumbai,11,20.0,1 Stop,4.3,8968.0
FLT0028,IndiGo,Chennai,Goa,11,84.0,2 Stops,1.5,3949.0
FLT0029,IndiGo,Bangalore,Pune,6,36.0,1 Stop,2.3,4327.0
FLT0030,SpiceJet,Delhi,Bangalore,11,9.0,1 Stop,2.7,4042.0
FLT0031,SpiceJet,Chennai,Mumbai,3,2.0,1 Stop,4.4,5425.0
FLT0032,Akasa Air,Hyderabad,Kolkata,9,58.0,1 Stop,9.5,9836.0
FLT0033,Air India,Delhi,Mumbai,5,101.0,1 Stop,5.5,9895.0
FLT0034,Air India,Hyderabad,Bangalore,3,41.0,1 Stop,3.1,6163.0
FLT0035,Vistara,Bangalore,Chennai,4,8.0,1 Stop,2.0,5888.0
FLT0036,IndiGo,Chennai,Kolkata,6,28.0,Non-stop,4.0,6501.0
FLT0037,IndiGo,Delhi,Hyderabad,5,60.0,Non-stop,8.3,12549.0
FLT0038,Vistara,Chennai,Hyderabad,3,23.0,Non-stop,4.5,8161.0
FLT0039,IndiGo,Mumbai,Pune,5,118.0,1 Stop,8.0,10673.0
FLT0040,SpiceJet,Mumbai,Delhi,2,92.0,1 Stop,8.2,10621.0
FLT0041,Air India,Kolkata,Bangalore,12,42.0,1 Stop,2.0,5663.0
FLT0042,GoAir,Delhi,Pune,5,115.0,Non-stop,6.5,8878.0
FLT0043,SpiceJet,Bangalore,Delhi,2,40.0,1 Stop,9.6,12426.0
FLT0044,Air India,Chennai,Mumbai,7,17.0,2 Stops,4.6,6558.0
FLT0045,GoAir,Delhi,Kolkata,11,113.0,Non-stop,1.5,4508.0
FLT0046,GoAir,Mumbai,Goa,5,116.0,1 Stop,9.3,12151.0
FLT0047,Air India,Bangalore,Pune,11,38.0,1 Stop,9.0,12375.0
FLT0048,Air India,Chennai,Hyderabad,8,72.0,1 Stop,5.7,8781.0
FLT0049,SpiceJet,Hyderabad,Pune,9,21.0,Non-stop,6.0,7473.0
FLT0050,IndiGo,Hyderabad,Mumbai,4,77.0,1 Stop,2.9,6939.0
FLT0051,IndiGo,Mumbai,Pune,1,83.0,2 Stops,8.4,10304.0
FLT0052,IndiGo,Delhi,Goa,5,86.0,1 Stop,5.5,9301.0
FLT0053,GoAir,Delhi,Chennai,12,69.0,2 Stops,1.3,2930.0
FLT0054,SpiceJet,Chennai,Mumbai,10,85.0,2 Stops,7.1,8431.0
FLT0055,SpiceJet,Delhi,Pune,10,67.0,Non-stop,9.6,11539.0
FLT0056,GoAir,Mumbai,Chennai,11,99.0,1 Stop,8.5,11237.0
FLT0057,Air India,Hyderabad,Pune,5,22.0,1 Stop,3.5,5720.0
FLT0058,Vistara,Hyderabad,Goa,4,59.0,2 Stops,1.5,4668.0
FLT0059,IndiGo,Hyderabad,Chennai,12,50.0,Non-stop,9.5,13141.0
FLT0060,IndiGo,Mumbai,Delhi,7,65.0,Non-stop,9.4,16541.0
FLT0061,SpiceJet,Chennai,Bangalore,4,18.0,1 Stop,5.8,7387.0
FLT0062,Vistara,Chennai,Mumbai,4,39.0,Non-stop,6.8,13947.0
FLT0063,Vistara,Mumbai,Chennai,11,115.0,1 Stop,5.2,12095.0
FLT0064,SpiceJet,Chennai,Kolkata,1,13.0,Non-stop,4.8,7520.0
FLT0065,SpiceJet,Chennai,Goa,1,77.0,2 Stops,2.1,3779.0
FLT0066,Vistara,Bangalore,Mumbai,9,80.0,1 Stop,1.9,6580.0
FLT0067,Vistara,Kolkata,Bangalore,1,57.0,Non-stop,3.1,8704.0
FLT0068,Air India,Kolkata,Hyderabad,3,5.0,1 Stop,8.5,10790.0
FLT0069,IndiGo,Chennai,Delhi,12,5.0,Non-stop,2.3,4351.0
FLT0070,Air India,Kolkata,Mumbai,6,34.0,1 Stop,3.0,5448.0
FLT0071,IndiGo,Kolkata,Goa,9,13.0,1 Stop,5.9,7848.0
FLT0072,Air India,Chennai,Delhi,6,12.0,1 Stop,2.9,5070.0
FLT0073,GoAir,Mumbai,Chennai,2,20.0,Non-stop,2.5,4456.0
FLT0074,IndiGo,Kolkata,Mumbai,3,23.0,Non-stop,6.1,10540.0
FLT0075,IndiGo,Kolkata,Delhi,10,101.0,1 Stop,4.3,7024.0
FLT0076,Air India,Hyderabad,Chennai,2,77.0,1 Stop,6.6,9265.0
FLT0077,Air India,Delhi,Kolkata,8,4.0,1 Stop,9.2,11642.0
FLT0078,SpiceJet,Bangalore,Mumbai,5,76.0,Non-stop,2.4,6205.0
FLT0079,Vistara,Hyderabad,Delhi,5,17.0,Non-stop,9.2,16914.0
FLT0080,GoAir,Chennai,Mumbai,12,51.0,1 Stop,9.1,10996.0
FLT0081,SpiceJet,Hyderabad,Bangalore,8,5.0,Non-stop,8.5,10578.0
FLT0082,Air India,Delhi,Pune,8,11.0,Non-stop,6.7,10655.0
FLT0083,GoAir,Delhi,Mumbai,5,16.0,2 Stops,6.6,9027.0
FLT0084,IndiGo,Kolkata,Bangalore,5,53.0,Non-stop,6.8,11480.0
FLT0085,IndiGo,Bangalore,Delhi,9,56.0,1 Stop,7.2,9919.0
FLT0086,IndiGo,Chennai,Bangalore,1,43.0,Non-stop,1.1,3924.0
FLT0087,SpiceJet,Bangalore,Mumbai,3,75.0,1 Stop,9.6,12733.0
FLT0088,Vistara,Bangalore,Delhi,8,87.0,1 Stop,6.3,12338.0
FLT0089,IndiGo,Hyderabad,Kolkata,8,88.0,1 Stop,8.0,9662.0
FLT0090,Vistara,Delhi,Bangalore,2,70.0,Non-stop,4.4,10383.0
FLT0091,IndiGo,Kolkata,Bangalore,10,66.0,1 Stop,1.1,3088.0
FLT0092,SpiceJet,Hyderabad,Bangalore,7,59.0,1 Stop,5.6,7125.0
FLT0093,Air India,Chennai,Goa,3,29.0,Non-stop,5.6,10599.0
FLT0094,Air India,Bangalore,Kolkata,10,59.0,Non-stop,4.9,9603.0
FLT0095,Air India,Delhi,Chennai,12,2.0,Non-stop,4.1,8035.0
FLT0096,SpiceJet,Kolkata,Mumbai,6,116.0,2 Stops,3.2,5529.0
FLT0097,Air India,Bangalore,Pune,4,45.0,1 Stop,5.7,9058.0
FLT0098,IndiGo,Delhi,Goa,4,91.0,1 Stop,4.4,7931.0
FLT0099,IndiGo,Bangalore,Delhi,8,115.0,1 Stop,9.7,13924.0
FLT0100,Akasa Air,Hyderabad,Goa,1,60.0,1 Stop,2.6,4510.0
FLT0101,Akasa Air,Mumbai,Hyderabad,6,104.0,1 Stop,3.9,7044.0
FLT0102,SpiceJet,Mumbai,Delhi,1,58.0,1 Stop,3.6,6346.0
FLT0103,IndiGo,Kolkata,Pune,1,16.0,1 Stop,5.9,7508.0
FLT0104,Akasa Air,Mumbai,Delhi,6,4.0,Non-stop,5.5,9969.0
FLT0105,GoAir,Hyderabad,Delhi,9,17.0,1 Stop,6.8,7768.0
FLT0106,SpiceJet,Hyderabad,Delhi,11,,1 Stop,9.6,11156.0
FLT0107,Air India,Hyderabad,Chennai,2,58.0,Non-stop,3.6,7224.0
FLT0108,IndiGo,Hyderabad,Kolkata,3,39.0,1 Stop,7.2,9233.0
FLT0109,IndiGo,Mumbai,Chennai,6,54.0,Non-stop,1.2,4290.0
FLT0110,Akasa Air,Mumbai,Delhi,7,31.0,2 Stops,3.4,4718.0
FLT0111,Air India,Bangalore,Mumbai,12,105.0,2 Stops,5.2,9444.0
FLT0112,IndiGo,Bangalore,Pune,9,120.0,2 Stops,1.3,3868.0
FLT0113,Air India,Hyderabad,Goa,7,11.0,Non-stop,6.6,10951.0
FLT0114,Vistara,Kolkata,Pune,1,87.0,Non-stop,7.1,12913.0
FLT0115,IndiGo,Chennai,Delhi,1,41.0,Non-stop,7.7,11455.0
FLT0116,GoAir,Hyderabad,Pune,2,6.0,Non-stop,5.6,5071.0
FLT0117,SpiceJet,Chennai,Hyderabad,8,111.0,Non-stop,6.4,8831.0
FLT0118,SpiceJet,Bangalore,Kolkata,4,8.0,Non-stop,4.6,7216.0
FLT0119,Air India,Bangalore,Mumbai,3,25.0,2 Stops,1.4,3824.0
FLT0120,Vistara,Chennai,Goa,9,4.0,Non-stop,1.9,6956.0
FLT0121,Vistara,Delhi,Chennai,10,57.0,Non-stop,6.9,12992.0
FLT0122,SpiceJet,Kolkata,Delhi,6,72.0,1 Stop,10.0,11276.0
FLT0123,IndiGo,Chennai,Mumbai,11,39.0,1 Stop,1.1,2049.0
FLT0124,Air India,Kolkata,Chennai,9,9.0,1 Stop,6.0,8008.0
FLT0125,IndiGo,Chennai,Delhi,9,14.0,1 Stop,7.8,9350.0
FLT0126,Vistara,Kolkata,Bangalore,11,113.0,1 Stop,8.4,14981.0
FLT0127,Air India,Hyderabad,Chennai,3,97.0,1 Stop,5.9,9352.0
FLT0128,IndiGo,Chennai,Goa,10,113.0,1 Stop,6.6,10533.0
FLT0129,IndiGo,Bangalore,Delhi,12,64.0,1 Stop,7.3,10927.0
FLT0130,Vistara,Delhi,Kolkata,12,66.0,1 Stop,8.7,14461.0
FLT0131,IndiGo,Kolkata,Goa,7,95.0,Non-stop,2.1,6812.0
FLT0132,Akasa Air,Hyderabad,Pune,10,74.0,1 Stop,9.3,9370.0
FLT0133,Vistara,Kolkata,Goa,11,53.0,Non-stop,1.2,5722.0
FLT0134,Air India,Hyderabad,Mumbai,11,36.0,1 Stop,8.5,11149.0
FLT0135,Vistara,Hyderabad,Pune,11,59.0,Non-stop,1.7,5292.0
FLT0136,IndiGo,Kolkata,Goa,10,8.0,Non-stop,2.8,6480.0
FLT0137,Akasa Air,Chennai,Bangalore,5,24.0,Non-stop,1.0,5331.0
FLT0138,Vistara,Delhi,Chennai,9,89.0,1 Stop,5.0,9722.0
FLT0139,GoAir,Delhi,Kolkata,5,105.0,Non-stop,4.0,6944.0
FLT0140,IndiGo,Mumbai,Chennai,10,13.0,1 Stop,2.5,3857.0
FLT0141,Vistara,Bangalore,Goa,10,12.0,1 Stop,5.1,10814.0
FLT0142,Vistara,Kolkata,Goa,12,11.0,Non-stop,4.6,9932.0
FLT0143,Akasa Air,Bangalore,Goa,8,95.0,1 Stop,7.9,12033.0
FLT0144,Vistara,Delhi,Chennai,6,38.0,Non-stop,9.0,17584.0
FLT0145,Vistara,Mumbai,Pune,2,40.0,Non-stop,6.9,13605.0
FLT0146,IndiGo,Hyderabad,Chennai,8,2.0,1 Stop,2.1,3407.0
FLT0147,Air India,Hyderabad,Pune,7,117.0,2 Stops,3.7,5853.0
FLT0148,Vistara,Bangalore,Kolkata,7,53.0,Non-stop,9.2,18082.0
FLT0149,Air India,Kolkata,Chennai,9,96.0,1 Stop,1.8,4295.0
FLT0150,IndiGo,Kolkata,Mumbai,11,85.0,Non-stop,4.7,10691.0
FLT0151,GoAir,Hyderabad,Kolkata,2,18.0,1 Stop,9.5,8957.0
FLT0152,Akasa Air,Hyderabad,Bangalore,6,97.0,1 Stop,9.6,12272.0
FLT0153,IndiGo,Chennai,Mumbai,9,67.0,1 Stop,4.7,5832.0
FLT0154,Vistara,Bangalore,Mumbai,10,73.0,1 Stop,7.0,14678.0
FLT0155,IndiGo,Chennai,Goa,10,25.0,Non-stop,5.1,9853.0
FLT0156,SpiceJet,Mumbai,Delhi,10,102.0,1 Stop,7.8,10781.0
FLT0157,Air India,Bangalore,Pune,11,112.0,1 Stop,1.3,5174.0
FLT0158,SpiceJet,Chennai,Pune,12,49.0,1 Stop,2.3,4267.0
FLT0159,SpiceJet,Chennai,Delhi,8,12.0,Non-stop,6.5,8612.0
FLT0160,SpiceJet,Chennai,Kolkata,3,102.0,1 Stop,3.1,5461.0
FLT0161,IndiGo,Bangalore,Kolkata,7,107.0,Non-stop,7.0,11470.0
FLT0162,Akasa Air,Bangalore,Chennai,9,61.0,Non-stop,4.2,7125.0
FLT0163,IndiGo,Delhi,Hyderabad,2,70.0,Non-stop,9.0,13657.0
FLT0164,IndiGo,Chennai,Delhi,10,27.0,1 Stop,8.4,10947.0
FLT0165,Vistara,Chennai,Mumbai,7,9.0,1 Stop,5.4,9215.0
FLT0166,Air India,Hyderabad,Chennai,12,114.0,Non-stop,8.0,12696.0
FLT0167,GoAir,Chennai,Pune,3,58.0,1 Stop,3.4,3985.0
FLT0168,GoAir,Bangalore,Hyderabad,11,33.0,1 Stop,5.4,7254.0
